Action,Identifier Field,Record Type,Dublin Core:Identifier,File
Update,Dublin Core:Identifier,Item,KYR-0001-002-0001,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0001.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0002,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0002.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0003,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0003.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0004,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0004.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0005,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0005.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0006,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0006.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0007,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0007.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0008,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0008.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0009,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0009.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0010,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0010.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0011,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0011.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0012,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0012.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0013,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0013.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0014,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0014.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0015,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0015.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0016,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0016.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0017,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0017.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0018,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0018.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0019,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0019.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0020,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0020.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0021,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0021.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0022,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0022.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0023,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0023.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0024,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0024.pdf
Update,Dublin Core:Identifier,Item,KYR-0001-002-0025,http://discovery.civilwargovernors.org/files/pdf/KYR-0001-002-0025.pdf
